product_category,problem,repair_status,brand,model,year_of_manufacture
mobile,klinkenstecker tauschen,end of life,Samsung,Unknown,????
small kitchen item,bedienungsfehler es war nichts kaputt,fixed,fitmix,Unknown,????
large home electrical,netzteil defekt noch in arbeit zeit reichte nicht aus,repairable,Unknown,Unknown,????
hi fi separates,kabelbruch,fixed,Reloop,Unknown,????
vacuum,ladeelektronik kaputt,repairable,Hoover,Unknown,????
hi fi separates,akku wechseln,repairable,JBL,Unknown,2016
power tool,schalter kaputt,repairable,Bosch,Unknown,????
mobile,display gesplittert,repairable,Samsung,Unknown,????
small kitchen item,kontaktst rung,fixed,Bosch,Unknown,2007
lamp,hassungshalterung gewinde kaputt,repairable,Unknown,Unknown,2016
small kitchen item,gebrochen,fixed,Unknown,Unknown,????
small kitchen item,henkel abgebrochen neue halterung gebaut,fixed,Bialetti,Unknown,????
tv and gaming related accessories,kondensator gewechselt,fixed,Cowon,Unknown,????
hi fi separates,endstufe transistoren kaputt,repairable,Technics,Unknown,????
small kitchen item,zieht kein wasser mehr verdreckt,fixed,Zanussi,Unknown,????
small home electrical,kalte l tstelle,fixed,Unknown,Unknown,????
vacuum,leitungsbruch,fixed,Philips,Unknown,????
kettle,schaltet zu fr h aus,fixed,Philips,Unknown,2011
flat screen,berhitzt,fixed,Asus,Unknown,2015
portable radio,kabelbruch leiterbahnunterbrechung,fixed,Philips,Unknown,2001
laptop,stecker lose,fixed,Lenovo,Unknown,2009
printer scanner,platine kaputt,unknown,Canon,Unknown,2011
small kitchen item,geht nicht mehr an,unknown,WMF,Unknown,2017
hi fi separates,box ausgetauscht,fixed,Sony,Unknown,2013
kettle,neue basis sockel gebastelt,fixed,Clatronic,Unknown,????
small kitchen item,feder gebrochen,fixed,Bosch,Unknown,????
hi fi separates,box ausgetauscht noch in arbeit,repairable,Sony,Unknown,2013
vacuum,kabel kaputt noch in arbeit,repairable,Philips,Unknown,2005
mobile,ladebuchse und akku ausgetauscht,fixed,Apple,Unknown,2014
mobile,akkuwechsel,fixed,Motorola,Unknown,2015
small kitchen item,motor kaputt,unknown,Unknown,Unknown,1982
kettle,n a,unknown,Unknown,Unknown,????
tv and gaming related accessories,n a,unknown,Unknown,Unknown,????
mobile,display kaputt datensicherung,fixed,Nokia,Unknown,2004
small kitchen item,undicht,unknown,Philips,Unknown,2010
hi fi separates,noch in arbeit,repairable,Pioneer,Unknown,????
hi fi separates,laufger usch,fixed,RFT,Unknown,1989
small kitchen item,kontakt lose,fixed,Unknown,Unknown,1959
hair beauty item,abgebrochener hebel,fixed,Wahl,Unknown,1963
vacuum,verstopft gereinigt,fixed,Vorwerk,Unknown,1994
hi fi separates,knopf reingefallen,fixed,Sony,Unknown,1999
mobile,n a,fixed,Apple,Unknown,2017
printer scanner,fehlermeldung b200 trotz druckkopfreinigung und reset nicht repariert,unknown,Canon,Unknown,2013
lamp,fehlendes kabel,fixed,Unknown,Unknown,????
small kitchen item,plastikteil im getriebe,fixed,Komet,Unknown,1971
flat screen,schaltet sich ab,fixed,Philips,Unknown,????
power tool,geht nicht mehr kohlen defekt,fixed,TIP,Unknown,????
hi fi integrated,defekt,fixed,Unknown,Unknown,????
tv and gaming related accessories,defekt,fixed,Unknown,Unknown,????
hi fi integrated,radioempfangsteil gest rt,unknown,Saba,Unknown,1984
large home electrical,defekt,repairable,Unknown,Unknown,????
tv and gaming related accessories,kabel ohne strom,unknown,Unknown,Unknown,????
toy,abzug defekt,unknown,Unknown,Unknown,????
flat screen,kein strom,repairable,Unknown,Unknown,????
toy,kopf ab,fixed,Unknown,Unknown,????
mobile,handyklappe verbogen,fixed,Unknown,Unknown,????
musical instrument,verl ngerungskabel defekt,repairable,Unknown,Unknown,????
hair beauty item,kabel locker,fixed,Unknown,Unknown,????
sewing machine,fadenspannung defekt,fixed,Unknown,Unknown,????
toy,naht gerissen,fixed,Unknown,Unknown,????
toy,offene n hte,fixed,Unknown,Unknown,????
mobile,akku immer leer,repairable,Unknown,Unknown,????
mobile,startet nicht,repairable,Unknown,Unknown,????
laptop,defekt,repairable,Unknown,Unknown,????
laptop,geht nicht an,repairable,Unknown,Unknown,????
printer scanner,papiereinzug defekt,repairable,Unknown,Unknown,????
hair beauty item,defekt wackelkontakt,unknown,Unknown,Unknown,????
small kitchen item,defekt,fixed,Unknown,Unknown,????
toy,funktioniert nicht,repairable,Unknown,Unknown,????
hi fi separates,funktioniert nicht,unknown,Unknown,Unknown,????
toy,schnabel geht immer auf,unknown,Unknown,Unknown,????
toy,lenkung hakt,fixed,Unknown,Unknown,????
watch clock,defekt,unknown,Unknown,Unknown,????
kettle,ger t piept,fixed,Unknown,Unknown,????
watch clock,bedienknopf klemmt,repairable,Unknown,Unknown,????
watch clock,uhrwerk defekt,unknown,Unknown,Unknown,????
toaster,defekt,unknown,Unknown,Unknown,????
watch clock,bewegt sich nicht,repairable,Unknown,Unknown,????
hi fi separates,cds werden nicht abgespielt,repairable,Philips,Unknown,2007
mobile,l dt nicht auf,fixed,Unknown,Unknown,????
portable radio,defekt,unknown,Samsung,Unknown,1989
large home electrical,drehknopf funktioniert nicht,fixed,Unknown,Unknown,????
portable radio,linker lautsprecher brummt,fixed,Unknown,Unknown,????
vacuum,defekt,fixed,Unknown,Unknown,????
portable radio,empf ngt sender sind aber nicht zu h ren,unknown,Unknown,Unknown,????
small home electrical,defekt,unknown,Unknown,Unknown,????
vacuum,kaputt durchgebrannt,unknown,Unknown,Unknown,????
lamp,defekt,repairable,Unknown,Unknown,????
hair beauty item,schalter defekt ersatzteil mitgebracht,fixed,Unknown,Unknown,????
vacuum,arretierung defekt,fixed,AEG,Unknown,????
toy,rollt nicht mehr,unknown,Unknown,Unknown,2018
vacuum,funktioniert nicht,fixed,Kirby,Unknown,2012
watch clock,stellknopf f r weckzeit fehlt,repairable,Unknown,Unknown,????
small kitchen item,funktioniert nicht,unknown,Grossag,Unknown,????
hair beauty item,kabel kaputt,unknown,Clatronic,Unknown,????
small kitchen item,schnur zu kurz neue schnur mitgebracht,fixed,Moulinex,Unknown,????
sewing machine,fadenspannung einstellen,fixed,Singer,Unknown,????
sewing machine,faden verheddert sich in unterer spule,fixed,Necchi,Unknown,2000
lamp,bewegungsmelder schaltet sich nicht aus,repairable,Unknown,Unknown,2014
portable radio,keine funktion,fixed,TEAC,Unknown,????
hi fi separates,steckerbuchse defekt,repairable,JBL,Unknown,????
sewing machine,nadelf hrung defekt,fixed,Pfaff,Unknown,1994
hair beauty item,defekt,repairable,Unknown,Unknown,????
toy,ohne funktion,fixed,Brio,Unknown,????
lamp,leitungen wurden durchgeschnitten,fixed,Unknown,Unknown,????
handheld entertainment device,keine displayanzeige defekt,unknown,Unknown,Unknown,????
portable radio,schaltet nicht ein,unknown,Unknown,Unknown,????
sewing machine,defekt,fixed,Unknown,Unknown,????
hi fi separates,l uft nicht,fixed,Grundig,Unknown,????
hi fi separates,liest die cd nicht ein,repairable,Unknown,Unknown,????
toaster,br tchenhalter rastet nicht ein,fixed,Unknown,Unknown,????
power tool,defekt sicherung,fixed,Proxxon,Unknown,2004
small kitchen item,kein dampf pumpe,fixed,Unknown,Unknown,????
toy,kassetten klemmen,fixed,Unknown,Unknown,????
tablet,bei einem nexus 7 2013 tablet pc war die usb buchse samt einiger leiterz ge von der platine gerissen der gast hatte sich bereits um eine neue buchse bem ht die wir nun einl teten die in mitleidenschaft gezogenen leiterbahnen konnten mit kupferlackdraht ausgebessert werden beim test im anschluss funktionierte dann zwar der ladebetrieb jedoch kam keine usb datenverbindung zustande hier werden wir uns wohl noch einmal die genaue verdrahtung und pinbelegung der buchse ansehen m ssen allerdings erst be,unknown,Asus,Unknown,????
mobile,mit einem samsung galaxy smartphone das nicht mehr ihrem willen gehorchen wollte besuchte uns eine ltere dame nachdem wir bei dem ger t ein betriebssystemupdate durchgef hrt und die datenverbindung zur ckgesetzt hatten funktionierte wieder alles zu ihrer zufriedenheit,fixed,Samsung,Unknown,????
decorative or safety lights,in den schrott wandern musste hingegen eine ltere lichterkette bei der einige lampen durchgebrannt und auch die fassungen ziemlich korrodiert waren mit einigem aufwand w re das theoretisch behebbar gewesen da diese weihnachtsdeko allerdings nicht mehr den g ngigen sicherheitsvorschriften entsprach konnten wir nur dazu raten sie zu entsorgen,unknown,Unknown,Unknown,????
small home electrical,an einer rowenta expert dg 920 dampfb gelstation war der bedienschalter in das geh use gedr ckt und lie sich so nur schlecht bet tigen hier war ein kunststoff haltedom im inneren abgebrochen und wurde mit etwas zweikomponentenklebstoff wieder angeklebt zus tzlich bastelten wir zur weiteren stabilisierung einen behelfsm igen anschlag hinter den schalter,fixed,Rowenta,Unknown,????
printer scanner,der papiereinzug eines canon pixma mg 5750 multifunktionsdruckers funktionierte nur sehr unzuverl ssig damit die bl tter richtig eingezogen werden musste man h ufig etwas nachhelfen in der verbliebenen zeit fanden wir keinen offensichtlichen fehler vermuten aber abgenutzte moosgummiwalzen wenn das ger t zu einem der kommenden termine noch einmal wiedergebracht wird k nnen wir die analyse fortsetzen und es dann hoffentlich reparieren,repairable,Canon,Unknown,????
hi fi separates,bei einen teufel m900 sw aktiv subwoofer sollten die b sse nach l ngerem betrieb angeblich dumpf klingen zudem w rde der r ckseitige k hlk rper ziemlich hei wir betrieben ihn eine ganze weile lang konnten das beschriebene fehlerbild allerdings nicht nachvollziehen auch die erw rmung des k hlk rpers schien uns im normalen rahmen zu liegen die besitzer wollen das teil nun unter beobachtung weiterbetreiben und ggf wiederkommen,unknown,Teufel,Unknown,????
hi fi separates,bei einer sony mhc 711 stereoanlage gab es einen defekt im cd antrieb denn der spindelmotor drehte sich nicht wir vermuten einen kaputten steuerschaltkreis da der motor selbst extern gespeist noch lief wir werden f r eingehendere analysen beim n chsten mal nach entsprechenden schaltungsunterlagen und datenbl ttern recherchieren und k nnen die anlage dann hoffentlich instand setzen,unknown,Sony,Unknown,????
hi fi separates,nicht reproduziert werden konnte der fehler eines playbear xl 41511 p44 kinder kassettenrekorders der nach aussage des besitzers ohne funktion sei von unserer spannungsversorgung gespeist ging er allerdings anstandslos vermutlich also ein defekt im zugeh rigen netzteil das der gast jedoch nicht mitgebracht hatte,repairable,Playbear,Unknown,????
small kitchen item,ein simpler kabelbruch in der zuleitung war der grund warum eine siemens ka 12 filterkaffeemaschine nicht mehr ging da der fehler unmittelbar an der knickstelle am ger t lag konnten wir ihn durch eink rzen und neu anschlie en des zuleitungskabels ohne weiteres beheben,fixed,Siemens,Unknown,????
small kitchen item,bei einem kult pro power juicer von wmf drehte sich dern motor nicht mehr da kein fehler in der zuleitung der internen verkabelung oder am motor zu finden war vermuten wir einen defekt der steuerelektronik an dieser stellten wir jedoch keine offensichtlichen sch den fest weshalb der gast nun versuchen will eine passende ersatzplatine f r den entsafter zu bekommen,repairable,WMF,Unknown,????
hair beauty item,ein grundig hd2509 reisehaartrockner funktionierte elektrisch zwar tadellos lie aber nur noch den kopf h ngen die arretierung des mechanismus mit dem er sich zu einem handlicheren format zusammenklappen l sst war kaputt dummerweise war die spiralfeder die normalerweise einen kunststoffstift gegen den rastmechanismus dr ckt nicht mehr auffindbar wir konnten sie jedoch durch eine auf passende l nge zurechtgeschnittene feder aus einem kugelschreiber ersetzen und den f hn damit reparieren,fixed,Grundig,Unknown,????
small home electrical,ein top clean exclusiv basis dampfreiniger und sauger tat keine regung mehr gemeinsam sahen wir uns schrittweise die einzelnen elektronischen komponenten an pr ften ein relais testeten die motorsteuerplatine und befanden auch die leistungsregelung f r ok eine widerstandsmessung am motor ergab allerdings ein kontaktproblem eine motorkohle klemmte in ihrer f hrung nachdem diese wieder g ngig gemacht war lief der motor bei einem test an unserem netzteil einwandfrei beim n chsten mal werden wir das g,repairable,Top Clean,Unknown,????
small home electrical,probleme mit der batterieversorgung hatte ein dect telefon von philips es hielt nie wirklich lange durch und ging wohl auch manchmal einfach aus wir vermuteten daher einen schwachen bzw defekten akku oder eine kontaktunsicherheit und empfahlen dem besitzer es daheim zun chst einmal mit neuen akkus auszuprobieren und wiederzukommen sollte der fehler bestehen bleiben inzwischen informierte uns der gast dass das telefon mit neuen akkus nun wieder einwandfrei l uft,fixed,Philips,Unknown,????
hi fi separates,fortsetzung am retro plattenspielers mit radio und cd player funktion zuletzt hatten wir den verst rkerteil der schaltung untersucht einige elkos ausgewechselt und festgestellt dass von der frontplatine kein signal geliefert wurde heute testeten wir mit oszilloskop und einem eingespeisten sinussignal nochmals die funktion des audioverst rkers tauschten weitere kondensatoren und reinigten das potentiometer der lautst rkeregelung leider hatten wir mit alledem keinen erfolg der besitzer wird das teil nu,unknown,Unknown,Unknown,????
small kitchen item,schnell zu einem erfolg f hren konnten wir die reparatur der tefal actifry hei luftfritteuse am ende war gar kein kompliziertes elektronisches problem f r deren funktionsausfall verantwortlich sondern es klemmte lediglich der l ftermotor nach einer kleinen starthilfe und einer reinigung der motorwelle lief er dann wieder zuverl ssig,fixed,Tefal,Unknown,????
hi fi separates,an einem sony radio cassette corder cfd 44 machte der cd player beim abspielen einer cd ungew hnliche ger usche au erdem verweigerte das kassettendeck komplett seinen dienst in der mechanik des optischen laufwerks lie sich kein fehler entdecken nur die fehlerursache im kassettendeck zwei ausgeleierte antriebsriemen fanden wir da der gast aber besonders auf die cd funktion wert legte belie en wir es dabei und er entsorgt das ger t,unknown,Sony,Unknown,????
hi fi separates,bei einem aiwa px e850 schallplattenspieler hing der tonarm manchmal hier war ein steuerhebel aus seiner sollposition herausgesprungen und konnte leicht wieder eingehangen werden,fixed,AIWA,Unknown,????
sewing machine,im fu pedal einer naumann n hmaschine war der entst rkondensator aufgebl ht wir l teten ihn aus ermittelten den typ und recherchierten nach einem geeigneten ersatz die besitzerin besorgt nun einen neuen den wir beim n chsten mal gemeinsam einbauen,repairable,Naumann,Unknown,????
small home electrical,ein simpler wackelkontakt war wohl der grund weshalb ein led scheinwerfer von unitec nicht leuchtete wir nahmen ihn auseinander pr ften alle verbindungen und erneuerten einen kabelschuh,fixed,Unitec,Unknown,????
portable radio,offenbar ein problem im empfangskreis sorgte daf r dass bei einem panasonic gx700 weltempf nger keine saubere kanaltrennung m glich war der besitzer besorgt hierf r einen wechselsatz keramik und elektrolytkondensatoren und kommt dann f r den austausch wieder,repairable,Panasonic,Unknown,????
small kitchen item,bevor eine rommelsbacher ekm 200 kaffeem hle erneut ihren dienst aufnehme konnte musste das geh useinnere erst einmal von allerlei kaffeepulverresten befreit werden insbesondere die sicherheitsschalter waren vom schutz und staub regelrecht zugesetzt so sehr dass kein kontakt mehr zustande kam und damit der betrieb unterbunden wurde nach einer reinigung ging sie schlie lich wieder,fixed,Rommelsbacher,Unknown,????
vacuum,ein beutelstaubsauger der khg gmbh zeigte nur minimale saugleistung und lie auch keine andere einstellung zu nach l ngerer suche fand sich eine unterbrechung in einer leiterbahn die mit einem st ck draht gebr ckt werden konnte,fixed,KHG,Unknown,????
printer scanner,in kaum einer minute gekl rt hatte sich das problem eines brother hl2035 laserdruckers an dem die rote fehler led leuchtete und mit dem kein druck mehr m glich war nachdem wir die r ckseitige wartungsklappe ge ffnet hatten offenbarte sich uns auch gleich die ursache papierstau ein blatt war zwischen den walzen stecken geblieben und musste nur entfernt werden damit alles wieder lief,fixed,Brother,Unknown,????
hi fi separates,der plattenteller des sony ps lx250h plattenspielers drehte sich nicht mehr die fehlersuche ergab einen defekten motortreiber auch in diesem fall geht es weiter sobald ersatz besorgt wurde,repairable,Sony,Unknown,????
lamp,eine kurbeltaschenlampe ljusa m1001 von ikea funktionierte nicht mehr richtig wir vermuteten einen defekten pufferakku da sie keine energie speicherte und lediglich beim drehen des dynamos leuchtete letztlich war aber nur ein kontakt des eingebauten goldcaps von der platine gerissen und musste nachgel tet werden,fixed,IKEA,Unknown,????
laptop,die besucherin beklagte dass ihr hp pavillion g notebook sehr langsam sei und bat daher um fachm nnische hilfe wir testeten verschiedene einstellungen des betriebssystems und optimierten diese sodass der rechner nun sp rbar schneller startet und wieder vern nftig benutzbar ist,fixed,HP,Unknown,????
hi fi separates,an einem jbl flip 3 bluetooth lautsprecher war die defekte micro usb ladebuchse zu tauschen da der besitzer bereits ein passendes ersatzteil mitgebracht hatte eigentlich keine gro e herausforderung trotzdem bedurfte es beim l ten bzw entl ten des filigranen steckverbinders reichlich geschick einer ruhigen hand und guter augen die m he wurde am ende jedoch belohnt und der lautsprecher wieder aufgeladen,fixed,JBL,Unknown,????
hi fi separates,ein tt 838 retro plattenspieler von ideenshop brachte nach l ngerer auszeit keinen ton mehr heraus obwohl das radio der plattenspieler oder eine cd lief kam kein audiosignal aus den lautsprechern oder einem angeschlossenen kopfh rer bzw war es u erst leise sodass man schon sehr genau hinh ren musste die vermutung lag nahe dass der fehler in der signalverst rkung liegt also konzentrierten wir die suche auf jenen teil der schaltung tats chlich fanden wir dort einige elektrolytkondensatoren mit,unknown,Ideenshop,Unknown,????
toy,batteriewechsel bei den zwei kindertelefonen und reinigung der kontakte,fixed,Unknown,Unknown,????
small kitchen item,der aufsatz dieses p rierstabes wurde bereits nach kurzer betriebszeit hei fing an zu quietschen und blockierte schlie lich den motor es gelang uns das ger t zu zerlegen gr ndlich zu reinigen und die beweglichen teile und lagerstellen neu zu len hiernach funktionierte wieder alles wie es sollte,fixed,ESGE,Unknown,????
portable radio,der av surround receiver r1513 von denon ging sofort nach dem einschalten zum schutz in den mute modus da wird die diagnose und reparatur wohl ein bisschen l nger dauern heute gab es da noch kein ergebnis,unknown,Denon,Unknown,????
mobile,bei einem sony xperia v lt25i smartphone war die micro usb buche defekt das ger t lie sich nicht mehr laden der tausch der buchse ist gelungen allerdings ist der besitzerin dabei ein missgeschick passiert sie hat die wlan antenne abgerissen,fixed,Sony,Unknown,????
toy,das lieblingsspielzeug des sohnes singt wackelt mit den ohren aber tanzt nicht mehr daran waren gleich mehrere kabelbr che schuld die aber schnell behoben werden konnten,fixed,Unknown,Unknown,????
tv and gaming related accessories,ein ladekabel netzteil eines asus notebooks hatte einen kabelbruch hier wurde das geh use aufgeh mmert das kabel gek rzt und das geh use mit 2k kleber wieder verschlossen,fixed,Asus,Unknown,????
portable radio,ein radio von denver sagt nichts mehr hier war die ursache eine defekte l tstelle an der stromversorgungsbuchse das konnte nat rlich behoben werden,fixed,Denver,Unknown,????
decorative or safety lights,schwibbogen ging nicht mehr der gefundene kabelbruch konnte durch eink rzen und neu anschlie en schnell behoben werden,fixed,Unknown,Unknown,????
sewing machine,die jaguar mate n hmaschine war schwerg ngig was an einem aufgewickelten faden in der mechanik lag nachdem der entfernt war funktionierte sie wieder,fixed,Victoria,Unknown,????
small kitchen item,kaffeemaschine von beem undicht wasserschlauch neu befestigt dann war sie wieder dicht,fixed,BEEM,Unknown,????
kettle,ein glas wasserkocher von afk wollte seine arbeit nicht komplett verrichten er schaltete einfach ab bevor das wasser kochte nach einer neujustierung des bimetallschalters brachte er dann aber doch wieder das wasser bis zum siedepunkt,fixed,AFK Germany,Unknown,????
small kitchen item,eine besucherin brachte zwei defekte kaffeepad maschinen vom typ km45 mit in der hoffnung dass man daraus wieder eine funktionierende machen kann das klappt zwar nicht immer aber hier hatten wir gl ck wir fingen mit der neueren maschine an und konnten nach einer schwierigen demontage des geh uses schnell den fehler finden die heizung des boilers war defekt die freude war gro als wir an der anderen maschine eine heizung vorfanden die in ordnung war nach dem zusammenbau und dem programm probelau,fixed,Petra,Unknown,????
toy,bei der drohne von parrot war am linken motor ein anschluss abgerissen nach dem anl ten des kabels direkt an der platine funktionierte der motor wieder,fixed,Parrot,Unknown,????
laptop,wir hatten zuerst das scharnier vom klappmechanismus mit zwei komponenten kleber versucht zu kleben was aber dann doch nicht den n tigen halt brachte sie hatte das rausgesuchte ersatzteil besorgt und hat es mit unserer hilfe gewechselt,fixed,Lenovo,Unknown,????
hi fi integrated,eine nostalgie kompaktanlage von shimo streckte ihrem besitzer die cd lade heraus sie lie sich ganz leicht hin und her bewegen wir vermuteten ein mechanisches problem und wollten das laufwerk untersuchen leider musste daf r das gesamte ger t zerlegt werden in der verbleibenden zeit war das nicht zu schaffen der besitzer wird im m rz nochmal wiederkommen,unknown,Shimo,Unknown,????
laptop,die anzeige des laptops blieb dunkel beim anschalten war zu beobachten dass die lampe an der taste caps lock f nf mal blinkt wir recherchierten im internet und fanden heraus dass dieser fehler bei der ger teserie h ufiger auftritt es wurde vermutet dass es eine vergessene bios einstellung oder ein defekter chipsatz ist leider nichts was wir reparieren k nnten,end of life,compaq,Unknown,????
hi fi separates,ein harman kardon hkts 200 sub subwoofer lie sich nicht mehr einschalten wir untersuchten die kabel und verbindungen dann weiter im netzteil konnten wir eine defekte sicherung feststellen au erdem war noch ein varistor und eine gleichrichterdiode kaputt wenn der besucher die ersatzteile besorgt hat wird er wiederkommen und wir k nnen weiter reparieren,repairable,Harman-Kardon,Unknown,????
hi fi integrated,wenn man an der rft sc 1800 stereoanlage die lautst rke einstellen wollte wurde das geh r schon arg strapaziert das potentiometer kratzte sehr stark wir zerlegten das ger t und freuten uns wieder einmal ber die servicefreundliche konstruktion dieses ger ts aus ddr zeiten wir reinigten das poti und bauten die anlage wieder zusammen,fixed,RFT,Unknown,1979
toaster,der toaster brauchte dauerhaften beistand um brotscheiben zu r sten die interne arretierung und ablaufzeit funktionierte nicht mehr elektrisch funktionierte er noch aber die elektronik hatte einen defekt der vorwiderstand in der stromversorgung der elektronik war kaputt nachdem wir diesen und noch einen verd chtig aussehenden elektrolytkondensator gewechselt hatten funktionierte der toaster wieder,fixed,Efbe Elektrogeräte GmbH,Unknown,????
small kitchen item,eine betagte swm 2 kaffeem hle aus ddr produktion hatte einen wackelkontakt einmal funktionierte sie und dann wieder nicht wir ffneten das ger t und klingelten die stromleitungen durch beim stecker wurden wir f ndig und nachdem dieser erneuert war drehte sich die m hle wieder zuverl ssig,fixed,VEB Elektroinstallation Oberlind,Unknown,1979
power tool,der bohrhammer von parkside pbh 1100 a1 wollte nicht mehr zuverl ssig bohren und h mmern wir konnten relativ schnell einen kabelbruch an der geh useeinf hrung feststellen wir schnitten das defekte st ck ab und schlossen das kabel wieder neu an,fixed,Parkside,Unknown,????
small home electrical,beim abbau der weihnachtsbeleuchtung hatte die besucherin nicht nur die befestigungsschn re sondern auch das zuleitungskabel zerschnitten zum gl ck lag nur sicherheitskleinspannung von 24 volt wechselspannung an den reparaturversuch der besitzerin n mlich alle vier enden zu verdrillen verkraftete das steckernetzteil gl cklicherweise ohne schaden wir l teten die passenden enden wieder zusammen und isolierten das anschlie end mit schrumpfschlauch,fixed,Unknown,Unknown,????
small home electrical,bei zwei elektronischen grablichtern hatten sich die zuleitungen vom batteriefach zur leiterplatte gel st das war auch sehr lawehde konstruiert wir l teten die kabel neu an und sicherten sie mit punkten von hei kleber gegen zu viel bewegung,fixed,Unknown,Unknown,????
small home electrical,einbau von neuem motor noch nicht fertig noch in arbeit,fixed,Unknown,Unknown,????
power tool,getriebe gereinigt,fixed,Unknown,Unknown,????
kettle,deckelhalterung kaputt neue feder eingesetzt,fixed,Korona,Unknown,????
mobile,akku festkleben,fixed,Apple,Unknown,????
printer scanner,papiereinzug defekt druckt nicht mehr hier nicht reparierbar weil kein zugang zum service manual,repairable,HP,Unknown,????
small kitchen item,geht nicht mehr an motorschaden,end of life,Unknown,Unknown,????
small kitchen item,geht nicht mehr an sicherung ausgetauscht,fixed,Bosch,Unknown,????
small kitchen item,geht nicht mehr an kontaktproblem,fixed,WMF,Unknown,????
hair beauty item,bei der elektrischen philips sonicare zahnb rste war die b rstenhalterung locker vermutlich fehlte hier ein sicherungsring der verhindert dass man den b rstenantrieb aus dem geh use herausziehen kann der gast erkundigt sich nach einem ersatzteil und kommt eventuell beim n chsten mal wieder,repairable,Philips,Unknown,????
small kitchen item,der besitzer eines mini backofens hatte sich an der reinigung der eingebauten mechanischen schaltuhr versucht bei dieser war dummerweise das uhrwerk auseinander gefallen und er bekam es selbst nicht mehr zusammengebaut wir probierten die losen zahnr der wieder einzusetzen doch an einem davon war die welle abgebrochen dies lie sich nicht reparieren der gast will nun eine neue schaltuhr bestellen und f r den einbau wiederkommen,repairable,Unknown,Unknown,????
toaster,der langschlitztoaster tat6004 02 von bosch gab kein lebenszeichen mehr von sich die betriebs led blieb dunkel der magnet mechanismus hielt nicht unten und die heizwendel blieben kalt gemeinsam nahmen wir den toaster auseinander und entdeckten an einem heizelement zwei durchgebrannte stellen ohne stromfluss wird die steuerelektronik aber auch nicht mit spannung versorgt weshalb das ger t gleich v llig seinen dienst versagt eine reparatur der heizung erschien uns nicht praktikabel und ohne geeigneten e,unknown,Bosch,Unknown,????
small kitchen item,der motor eines afk hm 250t 1 handmixers lief nicht und das ger t brummte im betrieb nur zudem war die mixstabaufnahme auf einer seite gebrochen nach dem auseinanderbauen fanden wir ein kleines kunststoff bruchst ck das sich zwischen rotor und statorgeh use verhakt hatte und so den motor blockierte es wurde entfernt und anschlie end noch die stabaufnahme mit zweikomponentenklebstoff geklebt beim n chsten termin wenn die klebestelle ausgeh rtet ist werden wir alles wieder zusammenbauen und den mixer,repairable,AFK Germany,Unknown,????
portable radio,der panasonic dmr xs350 receiver dvd recorder hatte probleme bei satellitenempfang er fand beim suchlauf einfach keine sender wir untersuchten das ger t und ma en verschiedene versorgungsspannungen nach konnten dabei aber keine offensichtlichen fehler feststellen eine weitergehende fehlersuche war uns ohne angeschlossenes tv ger t und satellitenempf nger nicht m glich weshalb wir dem besitzer empfahlen es noch einmal zu hause zu testen im servicehandbuch das wir ihm herunterluden und per mail zus,unknown,Panasonic,Unknown,????
small kitchen item,die nescaf dolce gusto kapselkaffeemaschine litt an einer undichtheit und tropfte aus der kapselaufnahme leider hatte der gast keine kapseln zum testen mit weshalb wir die maschine nur ohne last testen konnten hierbei lie sich der beschriebene fehler allerdings nicht reproduzieren wahrscheinlich weil sich ohne kapsel kein ausreichend hoher wasserdruck im schlauchsystem aufbaut der gast probiert es daheim noch einmal mit kapseln aus und kommt ggf beim n chsten mal wieder,unknown,Nescafé,Unknown,????
small home electrical,die silvercrest dampfb gelstation zeigte keine funktion hier lie sich ein defekter thermoschalter am b geleisen feststellen der bimetallkontakt sah ziemlich verschmort und verbogen aus eine reparatur des schalters erschien uns nicht sinnvoll da sich durch ein zur ckbiegen der metallzunge der urspr ngliche schaltpunkt und damit die leistungsregelung ver ndert leider war im internet auch kein ersatzteil zu finden wir rieten der besitzerin daher sich an den vertrieb bzw den hersteller zu wenden und do,repairable,Silvercrest,Unknown,????
portable radio,bei dem radiowecker war das skalenseil ausgehangen und deswegen keine sendereinstellung mehr m glich wir fixierten es und befestigten eine lose f hrungsrolle sodass sich jetzt wieder problemlos die sender einstellen lassen,fixed,Siemens,Unknown,????
hi fi separates,bei dem ta f445r vollverst rker von sony wurde der rechte kanal nicht verst rkt der linke kanal arbeitete auch nicht ordentlich wir haben den kraftprotz erst einmal untersucht und versuchen die schaltpl ne zu organisieren,unknown,Sony,Unknown,????
small kitchen item,dem milchaufsch umer konnten wir leider nicht mehr helfen hier war das heizelement defekt ein ersatzteil ist wie so h ufig teuer als ein neues ger t,end of life,Unknown,Unknown,????
small home electrical,es stellte sich heraus dass die akkus verbraucht waren mit neuen nimh akkus f r telefone wird das mobilteil wieder arbeiten es ist ein sehr h ufiger fehler der einfach zu beheben ist,repairable,Siemens,Unknown,????
hi fi separates,bei dem sony str de 355 verst rker war fiel der rechte frontkanal aus bedauerlicherweise lie sich der fehler nur schwer eingrenzen es ist wahrscheinlich ein wackelkontakt wir vermuten ein problem mit einem der nf relais aus zeitmangel konnten wir heute nicht viel an diesem verst rker machen,unknown,Sony,Unknown,????
